id_pedido,id_cliente,nombre_cliente,producto,categoria,region,fecha_pedido,ingreso,cantidad,descuento,estatus
PED-1249,CLI-050,Monica Salas,Bicicleta,Deportes,Sur,2024-10-21,1591.55,3,0.05,completado
PED-1250,CLI-040,Elena Quiroz,Jeans,Ropa,Norte,2024-06-11,112.74,3,0.0,pendiente
PED-1251,CLI-014,Felipe Campos,Licuadora,Hogar,Sur,2024-11-21,,4,0.0,completado
PED-1252,CLI-008,Ana Torres,Bicicleta,Deportes,Norte,2024-11-05,988.92,4,0.1,completado
PED-1253,CLI-055,Yolanda Prieto,Audifonos,Electronica,Occidente,2024-02-16,334.3,4,0.0,completado
PED-1254,CLI-022,Bruno Cortes,Audifonos,Electronica,Sur,2024-03-15,447.63,3,0.0,completado
PED-1255,CLI-068,Jorge Estrada,Jeans,Ropa,Centro,2024-10-08,381.44,4,0.05,completado
PED-1256,CLI-027,Karla Mendoza,Licuadora,Hogar,Centro,2024-01-07,152.24,4,0.1,completado
PED-1257,CLI-027,Valeria Nino,Monitor,Electronica,Norte,2024-11-11,1678.8,4,0.05,pendiente
PED-1258,CLI-073,Rocio Cabrera,Monitor,Electronica,Centro,2024-06-15,909.33,4,0.0,completado
PED-1259,CLI-074,Cecilia Arce,Sueter,Ropa,Norte,2024-04-20,93.27,1,0.2,completado
